iter	Passed	Remaining
408	5072	7330
409	5087	7320
410	5104	7314
411	5120	7307
412	5139	7304
413	5162	7307
414	5187	7312
415	5210	7315
416	5237	7323
417	5269	7337
418	5290	7336
419	5310	7333
420	5324	7323
421	5351	7329
422	5371	7327
423	5393	7327
424	5416	7327
425	5439	7329
426	5459	7326
427	5482	7327
428	5506	7329
429	5532	7334
430	5551	7329
431	5575	7330
432	5599	7332
433	5617	7325
434	5636	7320
435	5655	7315
436	5676	7313
437	5698	7312
438	5723	7314
439	5742	7308
440	5762	7304
441	5783	7301
442	5806	7300
443	5827	7298
444	5847	7292
445	5867	7288
446	5885	7281
447	5905	7276
448	5923	7268
449	5939	7259
450	5957	7251
451	5975	7244
452	5990	7233
453	6003	7220
454	6017	7208
455	6031	7195
456	6041	7178
457	6056	7166
458	6069	7154
459	6083	7141
460	6093	7124
461	6109	7114
462	6122	7101
463	6136	7088
464	6151	7077
465	6165	7065
466	6175	7047
467	6191	7038
468	6205	7026
469	6221	7015
470	6236	7004
471	6251	6993
472	6264	6979
473	6274	6963
474	6288	6950
475	6301	6936
476	6311	6920
477	6321	6903
478	6333	6889
479	6344	6873
480	6353	6855
481	6365	6841
482	6374	6823
483	6385	6808
484	6399	6795
485	6410	6779
486	6419	6762
487	6431	6748
488	6443	6733
489	6453	6716
490	6465	6702
491	6477	6688
492	6487	6671
493	6499	6657
494	6512	6644
495	6520	6625
496	6531	6610
497	6543	6595
498	6552	6578
499	6564	6564
500	6574	6547
501	6583	6531
502	6596	6517
503	6607	6502
504	6617	6486
505	6630	6472
506	6645	6461
507	6657	6447
508	6666	6430
509	6678	6417
510	6687	6399
511	6698	6384
512	6711	6371
513	6719	6353
514	6732	6340
515	6744	6326
516	6753	6309
517	6765	6295
518	6777	6281
519	6788	6266
520	6797	6249
521	6810	6236
522	6818	6219
523	6829	6203
524	6841	6190
525	6852	6175
526	6861	6158
527	6874	6145
528	6883	6128
529	6894	6113
530	6906	6099
531	6914	6082
532	6926	6069
533	6939	6056
534	6949	6040
535	6959	6024
536	6973	6012
537	6982	5996
538	6993	5981
539	7005	5967
540	7019	5955
541	7028	5939
542	7041	5925
543	7054	5912
544	7063	5897
545	7074	5882
546	7088	5870
547	7100	5856
548	7110	5841
549	7124	5828
550	7137	5816
551	7150	5803
552	7162	5789
553	7174	5775
554	7187	5763
555	7200	5750
556	7209	5734
557	7233	5729
558	7242	5713
559	7255	5700
560	7269	5688
561	7279	5673
562	7289	5657
563	7304	5646
564	7317	5634
565	7328	5619
566	7340	5605
567	7354	5593
568	7368	5581
569	7380	5568
570	7389	5551
571	7402	5538
572	7414	5525
573	7424	5509
574	7437	5497
575	7450	5484
576	7460	5469
577	7471	5454
578	7483	5441
579	7492	5425
580	7503	5411
581	7516	5398
582	7531	5386
583	7543	5373
584	7553	5358
585	7567	5346
586	7580	5333
587	7589	5317
588	7600	5303
589	7615	5292
590	7629	5279
591	7640	5265
592	7651	5251
593	7665	5239
594	7684	5230
595	7697	5217
596	7707	5203
597	7717	5187
598	7730	5175
599	7745	5163
600	7755	5148
601	7765	5133
602	7779	5121
603	7792	5109
604	7800	5092
605	7813	5080
606	7826	5067
607	7838	5053
608	7847	5038
609	7861	5026
610	7875	5014
611	7885	4999
612	7895	4984
613	7909	4972
614	7921	4959
615	7930	4943
616	7942	4930
617	7957	4918
618	7970	4906
619	7979	4890
620	7993	4878
621	8007	4866
622	8023	4855
623	8035	4841
624	8045	4827
625	8062	4816
626	8077	4805
627	8090	4792
628	8102	4779
629	8112	4764
630	8124	4750
631	8136	4737
632	8144	4722
633	8157	4709
634	8169	4695
635	8178	4680
636	8194	4669
637	8207	4656
638	8221	4644
639	8229	4628
640	8241	4615
641	8255	4603
642	8267	4590
643	8276	4575
644	8289	4562
645	8303	4550
646	8311	4534
647	8324	4521
648	8337	4508
649	8347	4494
650	8357	4480
651	8371	4468
